dataset,alpha,RR@10,nDCG@10,AP@100
FiQA,0.75,0.34130168528316684,0.27963166560731983,0.2295644961326789
FiQA,0.76,0.33865250832843424,0.2782011541513623,0.2279009756119751
FiQA,0.77,0.33643445032333924,0.2770075606678582,0.22627738868250355
FiQA,0.78,0.3355893592004702,0.27619287176178153,0.22585176022930112
FiQA,0.79,0.3350069811875367,0.2755477576643812,0.2251711600367119
FiQA,0.8,0.3336627963942778,0.27470243666318034,0.22499607641141697
FiQA,0.81,0.33325127376053293,0.27385892752242286,0.22462964907681796
FiQA,0.82,0.3323994464040759,0.27368090094753866,0.22424770391312546
FiQA,0.83,0.3316070203801684,0.27239776619784095,0.2234404960343672
FiQA,0.84,0.3302603860474229,0.2709303005555163,0.22241019480072724
FiQA,0.85,0.3285432588673328,0.2696923093648289,0.22162537519119188
FiQA,0.86,0.3276455026455026,0.2683236122757589,0.2206573232969522
FiQA,0.87,0.32659158828140306,0.2667937606769473,0.21990179714150238
FiQA,0.88,0.3255284881442288,0.265512385588357,0.21895690338642948
FiQA,0.89,0.32500061238487155,0.2643020960011675,0.2185180995862303
FiQA,0.9,0.32346046443268656,0.26341728475158516,0.21692218862187715
FiQA,0.91,0.32223630707427,0.26253709802123715,0.2166136679974286
FiQA,0.92,0.3214328581226728,0.2619529814253274,0.21569995483645854
FiQA,0.93,0.3186593670389965,0.2607361593685077,0.21407951032919473
FiQA,0.94,0.31696857240838716,0.25898948963038987,0.21298999377987937
FiQA,0.95,0.31638803155006856,0.25822252478576274,0.21215339871247724
FiQA,0.96,0.3141914070154811,0.2565643137945669,0.21121480692845107
FiQA,0.97,0.31379641877327064,0.2563145460862163,0.21083748543932554
FiQA,0.98,0.31196967470115616,0.2549937229013853,0.2099366235970636
FiQA,0.99,0.31140383107975705,0.2539236896792377,0.20954478736890764
FiQA,1.0,0.31027091906721543,0.2525888386645464,0.20863976503986567
SciFact,0.0,0.6026600529100526,0.6326150467282565,0.597293349083312
SciFact,0.01,0.606296296296296,0.6360556829011659,0.6012433412290277
SciFact,0.02,0.6138333333333331,0.6417697190130335,0.6090317282782017
SciFact,0.03,0.6208650793650791,0.6496708923670134,0.6153183717477688
SciFact,0.04,0.6286111111111109,0.6550261550126351,0.6224693278754218
SciFact,0.05,0.6260965608465606,0.6534580790578194,0.6202911740532719
SciFact,0.06,0.6274007936507935,0.6556147028374045,0.6215809297177431
SciFact,0.07,0.6273597883597881,0.6581725583877811,0.6218418203302042
SciFact,0.08,0.6295780423280423,0.6583448893420626,0.6247344014124107
SciFact,0.09,0.6301044973544971,0.6604503964083619,0.625171916358881
SciFact,0.1,0.628813492063492,0.6596871522455763,0.6241339470597679
SciFact,0.11,0.625706349206349,0.6564337480665287,0.6209028048293592
SciFact,0.12,0.6267248677248676,0.6577675503366817,0.6219016185307431
SciFact,0.13,0.6302751322751322,0.6606496394480998,0.6259678836577126
SciFact,0.14,0.6335595238095237,0.6637741152866475,0.6289102990500322
SciFact,0.15,0.6366706349206349,0.6658908065876926,0.6313758678321095
SciFact,0.16,0.6423187830687831,0.670267045775334,0.6359226493672255
SciFact,0.17,0.6428002645502644,0.673679955850751,0.6371339238085764
SciFact,0.18,0.6421838624338624,0.6744496416968307,0.6370781288732684
SciFact,0.19,0.6449007936507937,0.6772275775254621,0.6395900935954674
SciFact,0.2,0.6459603174603175,0.6781316694838754,0.6407331797004923
SciFact,0.21,0.64915873015873,0.6809732342902393,0.6429130096627552
SciFact,0.22,0.6518478835978835,0.6830522063299912,0.6456680555412005
SciFact,0.23,0.6541891534391534,0.686213000139889,0.6479341158395391
SciFact,0.24,0.6565052910052909,0.6881295659698511,0.65036439140527
SciFact,0.25,0.6575185185185184,0.6897125136993796,0.6512357708874621
SciFact,0.26,0.6568425925925925,0.6892478410657629,0.6504372374816794
SciFact,0.27,0.6574391534391533,0.6896707891296829,0.6508092383180318
SciFact,0.28,0.6563756613756613,0.6899705718372887,0.6505055883393196
SciFact,0.29,0.6544351851851851,0.6878363497832928,0.6489300200495038
SciFact,0.3,0.658195767195767,0.6913393203405677,0.6524467872412789
SciFact,0.31,0.6572605820105818,0.6907017065614816,0.6515279861499328
SciFact,0.32,0.6575066137566137,0.6916188071579249,0.6514462039989526
SciFact,0.33,0.6546044973544973,0.6893675678446604,0.6483495444693774
SciFact,0.34,0.6514060846560846,0.6883098488220595,0.6458367084041342
SciFact,0.35,0.6528743386243385,0.689332317209657,0.6472680924583557
SciFact,0.36,0.6534391534391534,0.689904301717617,0.6480908771130832
SciFact,0.37,0.6524523809523809,0.68872910680371,0.6478166816124032
SciFact,0.38,0.6535502645502644,0.6902847840380477,0.6486055556698225
SciFact,0.39,0.6521666666666666,0.6897105337776822,0.6467933542825368
SciFact,0.4,0.6522129629629629,0.6896718586673435,0.6466665795211587
SciFact,0.41,0.653429894179894,0.6906781252509901,0.647892786603834
SciFact,0.42,0.6541944444444445,0.6912433411498266,0.6485702543508866
SciFact,0.43,0.6541944444444445,0.69122455751778,0.6485156841867029
SciFact,0.44,0.6546984126984128,0.6916734217691485,0.6490832454985906
SciFact,0.45,0.6533835978835978,0.6899897189585747,0.6482424191543069
SciFact,0.46,0.6526574074074074,0.6892825937820242,0.6470646552347078
SciFact,0.47,0.6525502645502644,0.6892638009503447,0.6469875615904613
SciFact,0.48,0.6502486772486772,0.687485107394567,0.6446067192018097
SciFact,0.49,0.6502486772486772,0.6874298037826165,0.6445454813923004
