dataset,alpha,RR@10,nDCG@10,AP@100
ArguAna,0.52,0.23476935582198705,0.3539954037992181,0.2464514174032814
ArguAna,0.53,0.23484245523719172,0.3541263934463449,0.2466156996321637
ArguAna,0.54,0.23462795502269146,0.35407390833558067,0.24627484920554935
ArguAna,0.55,0.2350177244914083,0.3544876696944685,0.24651629637214048
ArguAna,0.56,0.23482890785522323,0.3539870284042605,0.246659327277133
ArguAna,0.57,0.234206292758924,0.3532304132948488,0.24595153525854
ArguAna,0.58,0.23384333581701972,0.35307442562146685,0.24548873999400583
ArguAna,0.59,0.23379676669150334,0.3525749002253234,0.24563561557038371
ArguAna,0.6,0.23330172277540673,0.35169673548200436,0.24530089429714758
ArguAna,0.61,0.23335704125177795,0.35180191665299926,0.24541673383992857
ArguAna,0.62,0.2328955835534782,0.3516114144365621,0.24513307029255998
ArguAna,0.63,0.23307875544717632,0.3514229204200038,0.2448360085067435
ArguAna,0.64,0.2328735690577794,0.3512518816434405,0.24459093421245315
ArguAna,0.65,0.23262689381110416,0.3510779075337285,0.24460657344163106
ArguAna,0.66,0.2321259229153964,0.35033692245257286,0.2438923739066736
ArguAna,0.67,0.23196278985752647,0.3500469407035319,0.24376398797032017
ArguAna,0.68,0.23155128813023518,0.35012700826892845,0.24355472393853553
ArguAna,0.69,0.23133424778161593,0.3501378356423769,0.24332347206513605
ArguAna,0.7,0.23137771229876472,0.3499626000568333,0.24309485483625556
ArguAna,0.71,0.23113752850594932,0.349975747135297,0.24283598755475197
ArguAna,0.72,0.23117111472374602,0.35009142292762746,0.24271062952180444
ArguAna,0.73,0.23101898891372552,0.3500433993548742,0.24263376132685271
ArguAna,0.74,0.23082226963805885,0.3496067319522573,0.2425381684003748
ArguAna,0.75,0.23045959493327892,0.34860693381910196,0.24226216143294071
ArguAna,0.76,0.23069893201472122,0.3489388258371767,0.24239326697458422
ArguAna,0.77,0.23065405631195074,0.34840481304953835,0.24217482341261481
ArguAna,0.78,0.23070260109733765,0.3487422203966886,0.24256233486192355
ArguAna,0.79,0.2304912054912052,0.3482543252368942,0.24240228807906217
ArguAna,0.8,0.23028601910180838,0.3480771432601122,0.24212313220190226
ArguAna,0.81,0.23030859807175563,0.34786650888903176,0.24235113751834161
ArguAna,0.82,0.23012542617805753,0.34730672240767707,0.24214130777129195
ArguAna,0.83,0.22969981259454914,0.3464715221697241,0.24150953757577664
ArguAna,0.84,0.22941164849059556,0.3463490954818027,0.241310849219421
ArguAna,0.85,0.22917654496601825,0.3463938353445857,0.2408184020703212
ArguAna,0.86,0.22895527106053384,0.34644606512458603,0.24061618041872557
ArguAna,0.87,0.22915622389306564,0.346984571571464,0.24048481091889684
ArguAna,0.88,0.22894087696719242,0.3467150332163769,0.24036556665907555
ArguAna,0.89,0.2287853643116798,0.34644216891546087,0.2405150545643975
ArguAna,0.9,0.22859372530425134,0.3462189487064668,0.24020187030880832
ArguAna,0.91,0.2284390593601117,0.34596566362683606,0.2398270024154022
ArguAna,0.92,0.22823359073359042,0.3456004719674997,0.23956769085546095
ArguAna,0.93,0.2276516177831964,0.3450036083418123,0.23909751122811468
ArguAna,0.94,0.22726721081984214,0.34463510333125585,0.2388899130581354
ArguAna,0.95,0.22699598094334908,0.344228911279097,0.23832336042507807
